FID,OBJECTID,GRIDCODE,Subbasin,Area,Slo1,Len1,Sll,Csl,Wid1,Dep1,Lat,Long_,Elev,ElevMin,ElevMax,Bname,Shape_Leng,Shape_Area,HydroID,OutletID,area_km
0,1,1,1,2988.492848960000200,51.533607482900003,11322.119095700000000,15.239256324299999,8.896116296660001,9.905149684270000,0.505969386376000,46.945575429700000,-121.407521257000000,1612.049220460000000,1034.000000000000000,2083.000000000000000, ,32243.688200000001000,29884928.489599999000000,300001,100001,29.8848991
1,2,2,2,8289.760075579999500,46.356864929200000,26241.994520100001000,15.239256324299999,4.290285344500000,18.269004680500000,0.760957035695000,46.947066512399999,-121.292045967000010,1376.551003630000000,850.000000000000000,2114.000000000000000, ,67123.653600000005000,82897600.755799994000000,300002,100005,82.8975983
2,3,3,3,2030.175481889999900,47.286334991499999,9592.686342909999400,15.239256324299999,7.987451623150000,7.854342898770000,0.433467742242000,46.883118128800000,-121.480007794000000,1494.923728640000000,1107.000000000000000,2076.000000000000000, ,26819.043399999999000,20301754.818900000000000,300003,100003,20.3017998
3,4,4,4,4454.819950500000200,45.126663207999997,15430.891746300000000,15.239256324299999,6.482311317120000,12.586002215600001,0.593574745102000,46.902366042899999,-121.408092307999990,1477.466224800000000,1036.000000000000000,2114.000000000000000, ,47402.279199999997000,44548199.505000003000000,300004,100002,44.5481987
4,5,5,5,2756.784902949999800,41.552764892600003,11482.318648099999000,15.239256324299999,6.100361019970000,9.436945335570000,0.489896689855000,46.853290706999999,-121.452103660000010,1478.865067709999900,1107.000000000000000,2029.000000000000000, ,34474.384599999998000,27567849.029500000000000,300005,100004,27.5678005
