01, 057
02, 044
03, 022
04, 009
05, 061
06, 022
07, 031
08, 018
09, 035
10, 017
11, 022
12, 036
13, 013
14, 029
15, 003
16, 012
17, 030
18, 007
19, 003
20, 014
21, 044
22, 042
23, 032
24, 030
25, 016
26, 001
27, 032
28, 013
29, 063
30, 033
31, 034
32, 011
33, 009
34, 052
35, 034
36, 051
37, 002
38, 012
39, 025
40, 019
41, 021
42, 051
43, 011
44, 012
45, 004
46, 023
47, 037
48, 046
49, 069
50, 022
51, 028
52, 022
53, 040
54, 024
55, 040
56, 056
57, 015
58, 043
59, 021
60, 027
61, 025
62, 019
63, 019
64, 034
65, 020
66, 018
67, 013
68, 012
69, 011
70, 023
71, 013
72, 026
73, 007
74, 014
75, 021
76, 039
77, 022
78, 035
79, 038
80, 015
81, 010
82, 033
83, 029
84, 023
85, 017
86, 022
87, 021
